artists,name,id,popularity
"Montserrat Figueras, Hopkinson Smith, Giulio Caccini","Alme, luci beate",2iyobnahGscPhC7d8bIJcz,4
"Henry Purcell, Nancy Argenta",O Solitude! Z.406a,1Ip45TLLgMFZeQiWAYbNdP,36
"Fran�ois Couperin, Pierre Hanta�, Montserrat Figueras, Maria Cristina Kehr, Jordi Savall, Rolf Lislevand",Troisième Leçon de Ténèbres à 2 voix (François Couperin),4TVfhDmm2r6kVdrW23OZbk,27
"Henry Purcell, John Eliot Gardiner","Purcell: Dido & Aeneas, Z. 626, Act 3: ""Thy hand, Belinda...When I am laid in earth"" (Dido)",4L0zcjn7EdM4KVjI7znewu,2
"John Dowland, The Schoole of Night","Book of Songs, Book 2: Praise blindness, eyes, for seeing is deceit",0UclZT5eKLamWyp96Z3yvc,1
"Traditional, Jordi Savall, Montserrat Figueras, Maria Cristina Kiehr, Rolf Lislevand",Une jeune fillette (Mélodie populaire - Arrangement Jordi Savall),0K1mYnV1naSrhB6AKRcz2s,28
"Bernard de Ventadorn, Millenarium",Ben m'an perdut,2jZj7LuTFq0HkddUdr8HQC,0
"Pierre de la Rue, Nancy Knowles, Live Oak",Trop plus secret,2F8wpr9u80nCtbyfjPVpY1,0
"John Dowland, Andreas Martin, Andreas Scholl","Flow, my tears",3Zxdi1d6sYDVmgOh1Ylblv,27
"Henry Purcell, Tragicomedia","Purcell : ""O dive custos Auriacae domus"" Z504 [Elegy on the Death of Queen Mary, 1695]",0hH16TqHB95Rr71dSyDE7T,1
"Gilles Binchois, Ensemble Gilles Binchois, Dominique Vellard",Binchois: Triste plaisir et douleureuse joie,66RckhLAPf592kaRHC5cIg,12
"William Byrd, Stile Antico, Fretwork","Why do I use my paper, ink and pen?",3mAmSsXw7bf0juPB28A0tJ,13
"Heinrich Isaac, Live Oak",Mon pere m'a donne mari,4ntGepYqaGUw2ziQfr6My9,0
"Capella de Ministrers, Carles Magraner",Alta,1260rdnwjioc5zDJQocCDR,3
"Thomas Tomkins, Oxford Camerata, Laurence Cummings, Jeremy Summerly",When David heard that Absalom was slain,34IBnyA9QkuGSnf0oXZPGQ,2
The Clerks' Group,Missa Flos Regalis: Sanctus,5kVbrVYExiP809OFFyPVnL,0
The Clerks' Group,Missa Flos Regalis: Gloria,3uTKzqZ4EVdpu6INt6Uajg,0
"Gregorio Allegri, Oxford Camerata, Oxford Schola Cantorum, Jeremy Summerly",Il salmo Miserere mei Deus: Miserere,62VUI35qqDKicbURf7HNek,12
Dead Can Dance,The Song Of The Sibyl (Remastered),2KbTRhqw90FAVMkTG99qO1,25
"Johannes Cornago, Live Oak",Qu'es mi vida preguntays?,3cN7XEAwXA2fwpvPtKHrSA,0
"Traditional, Montserrat Figueras, Jordi Savall","Mareta no'm faces plorar (Mummy, donʼt make me cry)",3wbYiS7OS7hn8UvjxTodeL,16
