artists,name,id,popularity
"London Philharmonic Orchestra, David Parry","Slavonic Dance No. 2, Op. 72",2jY19lvIdpi2T5fAOmp9Qh,0
"Antonín DvoYák, Boston Pops Orchestra, Arthur Fiedler","8 Slavonic Dances, Op.46, B.83: No.7 in C (Allegro assai)",1ZHC50sOu4E91RGMiDkNzy,0
Polifónica de Música Clásica de Barcelona,"Slavonic Dance in C Major, Op. 46: No.7",1YtTUvfk2a7Zwvmq0YgWbw,0
"Russian Music Society, Yuri Simonov","Dvorak 7 Slavonic Dance: A flat major, op. 46, no.3 - Live",2VhsVJgAdUjpctGSTHsMhy,0
"Antonín DvoYák, Wiener Symphoniker, Karel Anerl","Symphony No. 9 in E Minor, Op. 95, B. 178 ""From the New World"": IV. Allegro con fuoco",7697W8ZQ8euN9wnaXri6XH,1
"Antonín DvoYák, Wiener Symphoniker, Karel Anerl","Symphony No. 9 in E Minor, Op. 95, B. 178 ""From the New World"": III. Molto vivace",6O8B63PKMvGhETqYu7jJr2,0
"Antonín DvoYák, Wiener Symphoniker, Karel Anerl","Symphony No. 9 in E Minor, Op. 95, B. 178 ""From the New World"": II. Largo",6UNqV7sqDrYKgYAsIpnQPh,0
"Pietro Mascagni, Georges Prêtre, Orchestra Del Teatro Alla Scala, Milano",Cavalleria rusticana : Intermezzo sinfonico,7vO4Hs9etLaZABID8YKbuG,23
"Johann Sebastian Bach, Münchener Bach-Orchester, Karl Richter","Orchestral Suite No.3 in D Major, BWV 1068: 2. Air",5BUROKMmEIKwKi5K5VnC36,1
"George Frideric Handel, Alexander Briger, Academy of St. Martin in the Fields","Handel / Orch. Hale: Keyboard Suite in D Minor, HWV 437: III. Sarabande",1upQiytDIEZfl9ItruoXuC,65
The Hofgarten Ballroom Orchestra,Perpetuum Mobile (Op. 257),4Yl9AGTHKJ76e5sl29m8IY,0
"Johann Strauss II, Willi Boskovsky, Wiener Philharmoniker","Perpetuum mobile, Op. 257",2Fn7jrpPQy2in6Csy2XH1n,6
