artists,name,id,popularity
Jimmy Somerville,Smalltown Boy Reprise (2014),6OKlIr183M6BW9YL2y7FU6,32
Amber Run,I Found,4lRuRtvftdSSUA7hLP7zAr,54
Hiatus,Fortune's Fool,3ePAs7rkZu7TLCuLMbaLol,37
Hayden Calnin,For My Help,4O7KHRtmVSfWaFkztL5H6m,1
Radiohead,Everything In Its Right Place,31DVVa40JpTudyGDNC1ROW,3
Vast,One More Day,6HGOffbCJbvV1GxjDK3FKf,0
Max Richter,November,4WKujnArWJAJFAQfMyBhc8,0
Kristin Hersh,Your Ghost,5LuJb7cV20dLgA28grkvS9,0
Ane Brun,Are They Saying Goodbye?,4XR5XQzSDXrZ3YnhqVHQd7,16
The Cranberries,Empty,3s7kaXnds0IAFU79E53IDV,0
The Cranberries,Dying Inside,7aUCO2wybWTMnx3vPKViiH,0
The Cranberries,I Still Do,1ZizIarDiXxXEIaCOdAoD7,2
The Cranberries,I Will Always,6UWj5nNhv4jjrRV6zB3ZtL,0
The Cranberries,Put Me Down,6BX5RrVujeL8MlFD0K2zVx,0
The Cranberries,Them,4cimYgQlQcIfT38mStNavD,0
The Smiths,Asleep - 2008 Remaster,6ylnImVpCCEmXFUD3PZySf,49
Junip,Line of Fire,0lQIZtHlrUcJEpOzTASw8q,0
"Jazzanova, José James",Little Bird,1K7AxN02sSuNDyZioEwvJC,1
Low,Lazy,45m3MvYjwf47Q2ZxABk7Mq,31
Low,Drag,2sbKlF95QiDw8lxRhLXbOQ,28
Low,Fear,0h4FnxJdO3Pn2sk5TRawS7,30
Micah P. Hinson,Beneath the Rose,64aIYqSO1Dzlig7o8GtGp2,38
Blaue Blume,Roxy,05EtBWKNRlwur5zfwxSM90,7
Blaue Blume,Birthday,1dvOizgckctrQXPedrFJQS,4
Blaue Blume,Lost Sons of Boys,1P5li369qeWaubZpo9qPJI,11
Blaue Blume,Lemon Tree,1izHBrObZ6XzYGcetYDaaX,6
Jeff Buckley,Forget Her - Studio Outtake - 1993,4QUzPwEXqErm7PqsofTrBY,1
Maja Gry,Too Close,2lJNwPSE5uijVrDNQ4qYsS,0
Moriarty,Fireday,09HFwwvYO9PQ7FdShO6pug,0
Chris Isaak,Wicked Game - Remastered,5l91KHr9uF8wdSdtRoZba8,62
Just Friends,Avalanche,54gZLHf4Sa624jRh1g1cAz,37
Alicia Keys,Illusion Of Bliss,3CMnKJNcZBtELH6nyLqkKg,39
Alexis Ffrench,Crystal Sands,3uZ4dnWr7bwBMlijErEJGI,19
Youth Lagoon,July,5UqxQZatY5iVHKarrcRH2p,0
Current Joys,New Flesh,6TEiFwaiHERpdfG6WnGed1,70
Current Joys,The Way You Make Me Feel,3LPE5rTzFbPE9UpRKK79TV,28
"Stray Dogg, Devendra Banhart",Time (feat. Devendra Banhart) [Video Version],4XLlSpLySsd84OYy4xOk2m,0
Ólafur Arnalds,Undan hulu,1PiTIjwCtcfdjtlA287Uav,0
Exist Strategy,Balcony,2n2IC0KbVTV7zP4XOj24tN,15
Angus & Julia Stone,Main Street,6vxEIJJMBYeSIBb5Cg51z3,33
Angus & Julia Stone,Crash And Burn,0lNwbmienY514x7D8uLVE1,37
Perfume Genius,Choir,7CjQ1Oyc8dApN90e9rmPZg,36
James Vincent McMorrow,Look Out,0rsWeA9LTIxDA3XVy0OaAn,21
"Henry Purcell, John Eliot Gardiner","Purcell: Dido & Aeneas, Z. 626, Act 3: ""Thy hand, Belinda...When I am laid in earth"" (Dido)",4L0zcjn7EdM4KVjI7znewu,2
Beach Fossils,Sleep Apnea,2MOSnhDVlspBJc3G0boX7y,0
Cassandra Wilson,Harvest Moon,21HsI1RpRHEjbUjmzHtIyj,50
Nick Hakim,Green Twins,3dcpRsOY2bN41WhPJHThhu,1
Jóhann Jóhannsson,A Model of the Universe,4f8vOdxAoeFABjX5iFXUCb,51
The Cranberries,Them,47cPstQOsfnwIIMzZfxhE1,12
The Cranberries,What You Were,2frEl01UXHhDsQXipZDM97,12
Homin Lviv Municipal Choir,Vichnaya Pamyat,5NU8pIT0Yp8wgaUiHZM90w,47
Vök,Hiding,1DMSlqYhNu8czRoYdX6mEv,27
