artists,name,id,popularity
Men At Work,Down Under,6PzjPyxyy7asBmcCN9AU97,49
Carol Douglas,Dancing Queen,7jDvlh1eyYwUYlPvTHjzQy,0
Hi-Gloss,You'll Never Know,15TCBcHCuyYMCpEN5r6jF4,40
Men At Work,Down Under,46RVKt5Edm1zl0rXhPJZxz,72
The Gap Band,Oops Upside Your Head,3ZszsVignkvk8Mu2cmqdLO,0
Fancy,Shock Me,4YIEq04jsq80nbOrTGqnS5,0
The Jackson 5,I Want You Back,3b0EOvScbZUc0qJx0E1L2z,14
Rod Stewart,Da Ya Think I'm Sexy?,4z7maGZkAonDlXlwo8q69f,68
Van Dyke Parks,Come to the Sunshine,6fVNhILRqXnELSZpHjkCpW,11
Brenton Wood,Baby You Got It,5tqadK0E38jwMI2eOdJJ59,0
Sabrina Starke,In the Morning,4F0bkDBJSmA4xNnwrBTW2m,40
The Pointer Sisters,Jump (For My Love) - Single Remix,59K6GctkD8lWljFYa8eE6D,44
Wham!,Wake Me Up Before You Go-Go,5XsMz0YfEaHZE0MTb1aujs,24
Slapp Happy,The Drum,0xzxRsPclx8C7ROu9RUvTm,17
La Bouche,Be My Lover,3vSn1frPgFcRXrjWOfhMLl,63
Donna Summer,I Feel Love,6efRrfjV1YW1rtecLUHoP1,9
Spin Doctors,Two Princes,4ePP9So5xRzspjLFVVbj90,69
Grace Jones,Walking In The Rain - 2014 Remaster,6KUDVRz7Q4XSguvS9VfvcS,28
Grace Jones,Pull Up To The Bumper,6NoTZGHfMHircAfm2tyvP4,0
"Lisa Stansfield, Ian Devaney, Andy Morris",All Around the World - Remastered,4oDE2kdP0JksBFuvMNZYyS,48
CÈline Dion,On ne change pas,5CHVLIj3iRl2vAh1INEw0H,45
"Bill Medley, Jennifer Warnes",(I've Had) The Time of My Life,5UqqOfFa9DYXALpCCF8VwB,20
Phil Collins,In The Air Tonight,7Dbg5O9nNWu6SWxDjJ9qoq,18
Stevie Nicks,Edge of Seventeen,2id8E4WvczfKHB4LHI7Np3,67
Ashford & Simpson,Solid,4sr4NdrPfds9Qfors9UkiO,53
Whitney Houston,It's Not Right But It's Okay,7861kBrZ5aw7o4NfggcyYW,63
Barry White,"Can't Get Enough Of Your Love, Babe",5MU22Zh4uwY0nkREliOLcU,1
The Bangles,Manic Monday,5KYoPa5akZxiCn38xelbqI,53
Modern Talking,Brother Louie,6U51gSZ5PNHf9Pbq2Zy14c,43
Haddaway,What Is Love - Single Mix,33iAwBBb962LFQei4J0b0b,6
Erma Franklin,Piece of My Heart,2GbePPrWWSRxcmW6QRSPae,51
Electric Youth,Tomorrow,4A9ikinCbpT2wwB9LTgv2u,28
Dead Or Alive,You Spin Me Round (Like a Record),0BB9eUBBaaX6GALSYNcEp7,15
Janet Jackson,Escapade,76dqK51VNQ6k4L9tDql7wV,0
Janet Jackson,Nasty,3diyQukPM9Uj2hkcCMvNBv,0
Whitney Houston,I'm Your Baby Tonight,3qCE3tlNYhxVrEOwVnF3Q9,38
Daryl Hall & John Oates,Kiss on My List,7cDzJyC95jtGO9zAeZsWOg,61
Daryl Hall & John Oates,You Make My Dreams,4o6BgsqLIBViaGVbx5rbRk,77
Daryl Hall & John Oates,Rich Girl,0qRR9d89hIS0MHRkQ0ejxX,69
Daryl Hall & John Oates,Out of Touch - Single Version,169oHBed4Nj1Q073yu9bFB,57
Daryl Hall & John Oates,I Can't Go for That (No Can Do),41dDygR3r7e926oGUXfrLt,62
Daryl Hall & John Oates,Maneater,4aKIs5t9TqP59btlCGPrgw,21
Al Green,Let's Stay Together,7kWhdmRYv8CqbWNqfojqVd,21
George Benson,Give Me the Night,62GYoGszQfROZswLee6W3O,61
M,Pop Muzik,6kC5Ufo12MiUP3gpZsm6LW,1
REO Speedwagon,Keep on Loving You,4rcHWl68ai6KvpXlc8vbnE,70
The Guess Who,"American Woman - 7"" Version",2loctOuEydT8m8V0XsbPsU,40
Juice Newton,Angel Of The Morning,6NVB6W7G3svCKe5zB7kY8q,55
Gloria Gaynor,I Will Survive - Rerecorded,2a1MrtxYybqFV1Ow8VJ1dW,61
Marianne Rosenberg,Er geh√∂rt zu mir,6COzABVCHQzyvc3rTMtrXn,51
Tracy Chapman,Talkin' Bout a Revolution,0YMFcrMtBowDdD5bPz0cgy,66
Dannii Minogue,Put the Needle on It - Radio Version,5zm8NuBsLn3eGEp7SwC03n,0
Stevie Nicks,Edge of Seventeen,1m9saE7zpF33TxI19j57UN,5
Missing Persons,Words,3GyLQYquCRImwpPplslJ8M,31
Missing Persons,Destination Unknown,6adNmhEh8Kb1Swoy1XG8gn,35
Cher,Dark Lady,3XeBKcKFsrD62i8MoovQZI,0
