artists,name,id,popularity
Ezhel,Şehrimin Tadı,5JaXKUIcNxwSuUyD4CsphL,59
"Ezhel, Emel",Bazen (feat. Emel),6qkXhA5mVvG1DLyliRS1Yf,58
Ezhel,Geceler,0R0o8uOkDz40XsR6uwThfQ,65
"An1l Piyanc1, DJ Artz, Ezhel, Grogi",Bugün Biraz İçtim (feat. Ezhel & Grogi),3ZOomYOMxc02ChdDH8Q4t8,0
"An1l Piyanc1, DJ Artz, Ezhel",Keyif Pezevengi (feat. Ezhel),43cOJcSWiwBOkXTuau7YqB,0
"An1l Piyanc1, DJ Artz, Sansar Salvo, ^ehin_ah, Red","Tabi Len (feat. Sansar Salvo, Şehinşah & Red)",0T8Q6vv3v7NrohrSZ5IbR7,0
"An1l Piyanc1, Emrah Karakuyu",Action,5twfIeVr6z6lU4C0cLHE1p,21
"An1l Piyanc1, DJ Artz, Emrah Karakuyu, Kei_an",Olmazsa Olmaz (feat. Emrah Karakuyu & Keişan),3b7lGTSVRSAkWoJ0RCQe2t,28
"Ezhel, Aga B",Atesi Yak,76jAlBYmwgTwZHgECTpQO0,49
Ezhel,Olay,1ne21d0vC0aW0fxsZVibMc,63
Ezhel,Alo,3hdXIz9eY9u5QoEUkBs5yN,58
